City,Location,Type,Contents,Contents (Korean),URL,lat,long
Seoul,Jongno,History,Gyeongbokgung Palace,경복궁,https://royal.khs.go.kr/ENG/contents/E101010000.do,37.57738359,126.9772002
Seoul,Jongno,History,Changdeokgung Palace,창덕궁,https://royal.khs.go.kr/ENG/contents/E102010000.do,37.57953882,126.9908979
Seoul,Jongno,History,Blue house,청와대,https://www.koreatodo.com/cheongwadae-blue-house,37.5866076,126.974811
Seoul,Jongno,History,the National Museum of Korean Contemporary History,대한민국 역사박물관,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=78636,37.57394189,126.9776767
Seoul,Jongno,Sightseeing,Insadong,인사동,https://www.cktravels.com/things-to-do-insadong-seoul/,37.57454676,126.9854422
Seoul,Jongno,Sightseeing,Bukchon Hanok Village,북촌한옥마을,https://www.tripadvisor.com/Attraction_Review-g294197-d1379963-Reviews-Bukchon_Hanok_Village-Seoul.html,37.5814696,126.9849519
Seoul,Jongno,Shopping,Gwangjang Market,광장시장,https://www.koreatodo.com/gwangjang-market,37.5700398,126.9996036
Seoul,Yeouido,Shopping,The Hyundai Seoul,여의도현대백화점,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=171631,37.5258975,126.9284261
Seoul,Yeouido,Nature,Yeouido Hangang Park,여의도 한강공원,https://www.koreatodo.com/yeouido-hangang-park,37.52671117,126.9347048
Seoul,Yongsan,Sightseeing,Seoul Tower Plaza,서울남산타워,https://www.tripadvisor.com/Attraction_Review-g294197-d1169465-Reviews-N_Seoul_Tower-Seoul.html,37.5511694,126.9882266
Seoul,Yongsan,History,The War Memorial Of Korea,전쟁기념관,https://www.tripadvisor.com/Attraction_Review-g294197-d554537-Reviews-The_War_Memorial_of_Korea-Seoul.html,37.537362,126.9784764
Seoul,Yongsan,History,National Museum of Korea,국립중앙박물관,https://www.tripadvisor.com/Attraction_Review-g294197-d325043-Reviews-National_Museum_of_Korea-Seoul.html,37.52333333,126.9807235
Seoul,Yongsan,Sightseeing,Iteawon,이태원,https://www.tripadvisor.com/Attraction_Review-g294197-d2571660-Reviews-Itaewon-Seoul.html,37.53497574,126.9951349
Seoul,Jamsil,Shopping,Lotte World tower,롯데월드타워,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=72115,37.51372962,127.103824
Seoul,Gangnam,Shopping,Coex mall,코엑스,https://travel-stained.com/starfield-coex-mall-things-to-do/,37.51248102,127.0591444
Seoul,Gangnam,Sightseeing,Gangnam station (Sandra's workplace),강남역 인근,https://www.koreatodo.com/gangnam-shopping-street,37.49780208,127.0259872
Seoul,Gangseo,Nature,Seoul Botanic Park,서울식물원,https://www.tripadvisor.com/Attraction_Review-g294197-d15306289-Reviews-Seoul_Botanical_Garden-Seoul.html,37.56940059,126.8352059
Seoul,Mapo,Sightseeing,"Hongdae, Hapjeong, Mangwon","홍대입구, 합정, 망원",,37.55540424,126.9175476
Seoul,Junggu,Sightseeing,DDP (Dongdaemun Design Plaza),DDP,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=67162,37.56722665,127.010057
Seoul,Seongdong,Sightseeing,Seongsu,성수동,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=134857,37.54479717,127.0555998
Seoul,Gangnam,Sightseeing,Banpo bridge,반포 달빛무지개분수,,37.51246429,126.99918
Seoul,Seoul,Sightseeing,City tour bus,시티투어버스,https://en.seoulcitybus.com/service/tour_course_view.php?code=2,37.52198149,126.9610744
Gyeonggi,Yongin,History,Korean folk village,민속촌,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=111995,37.25964897,127.1193972
Gyeonggi,Seongnam,Family,Dohoon's parent house,도훈 부모님 집,,37.34329377,127.1264926
Gyeonggi,Seongnam,Sightseeing,HD Hyundai GRC (Dohoon's workplace),HD현대 GRC,https://www.archdaily.com/1005023/hd-hyundai-global-r-and-d-center-nikken-sekkei,37.37668962,127.1041203
Gyeonggi,Gapyeong,Sightseeing,The Garden of Morning Calm,아침고요수목원,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=110690,37.74292702,127.351198
Gyeonggi,Paju,Sightseeing,Imjingak Resort,임진각 평화누리공원,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=107397&menuSn=351,37.89221614,126.7434941
Gyeonggi,Paju,Sightseeing,Byukchoji Gardens,벽초지 수목원,https://english.visitkorea.or.kr/svc/contents/contentsView.do?menuSn=351&vcontsId=84671,37.80076545,126.8741733
Gyeonggi,Paju,Sightseeing,Majanghosu Suspension Bridge,마장호수 출렁다리,https://english.visitkorea.or.kr/svc/contents/contentsView.do?menuSn=351&vcontsId=176226,37.77587203,126.9280129
Gyeonggi,Paju,Sightseeing,Heyri Art Valley,헤이리 예술마을,https://english.visitkorea.or.kr/svc/contents/contentsView.do?menuSn=351&vcontsId=104721,37.78825852,126.6991412
Gyeonggi,Paju,Sightseeing,Shinsegae Simon Paju Premium Outlets,파주 신세계 프리미엄 아울렛,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=87806,37.76947057,126.6962437
Gyeonggi,Paju,Sightseeing,First Garden,퍼스트가든,https://english.visitkorea.or.kr/svc/contents/contentsView.do?menuSn=351&vcontsId=112657,37.73209918,126.7945629
Gyeonggi,Paju,Sightseeing,Redfife (Caf?),레드파이프 (카페),https://maps.app.goo.gl/hL4CokbN7xwJrseH8,37.72591142,126.6928627
Gyeonggi,Paju,History,Museum of Modern History of Korea,근현대사박물관,https://maps.app.goo.gl/zGrqD1XnfBwiBMp69,37.79088604,126.6952364
Gyeonggi,Paju,History,DMZ,파주DMZ(땅굴),https://www.dmz.go.kr/english/wantgo/tour_security/view/1541,37.89059629,126.7402313
Incheon,Junggu,Sightseeing,Incheon Chinatown,인천 차이나타운,https://www.tripadvisor.com/Attraction_Review-g297889-d1507786-Reviews-Chinatown-Incheon.html,37.47568839,126.6176895
Incheon,Songdo,Sightseeing,Songdo Central Park,송도센트럴파크,https://www.tripadvisor.com/Attraction_Review-g297889-d5252556-Reviews-Songdo_Central_Park-Incheon.html,37.39308845,126.6392721
Gangwon,Sokcho,Sightseeing,"Sokcho (temple, mountain, beach, market...)",속초여행,https://www.agoda.com/travel-guides/south-korea/sokcho-si/3-days-in-sokcho-si-a-diverse-exploration-of-nature-and-culture/?cid=-218,38.2044206,128.5892202
Busan,Busan,Sightseeing,Busan travel,부산여행,https://byemyself.com/perfect-itinerary-three-days-busan/,35.15842366,129.1594241
Jeju,Jeju,Sightseeing,Jeju travel,제주여행,https://www.klook.com/en-MY/blog/itinerary-jeju-island/,33.51302709,126.5487951
